"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)";"Absolute (rad/s)"
6,956824167E-1;-5,768747628E-2;1,347799003E-1;3,326803744E-1;3,635515066E-1
7,057494167E-1;-9,799453430E-3;9,707985818E-2;3,052567244E-1;3,204718333E-1
7,158164167E-1;2,346209623E-2;-6,171429064E-3;2,784285843E-1;2,794835113E-1
7,258834167E-1;2,521714568E-2;-9,258950502E-2;2,504551113E-1;2,682097754E-1
7,359504167E-1;6,705246400E-3;-1,149488762E-1;2,278848290E-1;2,553227365E-1
7,460164167E-1;-3,001491912E-2;-8,876606822E-2;2,031152546E-1;2,236875430E-1
7,560834167E-1;-6,476677209E-2;-2,868435346E-2;1,810432374E-1;1,944072548E-1
7,661504167E-1;-8,536592871E-2;1,858964562E-2;1,717619449E-1;1,927046508E-1
7,762174167E-1;-9,016814083E-2;1,273681596E-2;1,734882146E-1;1,959353993E-1
7,862843750E-1;-8,333604038E-2;-9,271908551E-3;1,801230609E-1;1,986836204E-1
7,963513750E-1;-6,118120626E-2;-3,745108098E-2;1,821803451E-1;1,957942839E-1
8,064173750E-1;-3,785301745E-2;-5,752968416E-2;1,932923496E-1;2,051936839E-1
8,164843750E-1;-1,109464001E-2;-7,318507880E-2;1,975992024E-1;2,110085107E-1
8,265513750E-1;4,019769281E-2;-3,646391630E-2;1,849536002E-1;1,927519284E-1
8,366183750E-1;1,292830855E-1;2,541649714E-2;1,697706580E-1;2,149004207E-1
8,466853750E-1;2,310231924E-1;9,180869907E-2;1,475904584E-1;2,891081045E-1
8,567523750E-1;3,214636147E-1;1,429840028E-1;1,385767311E-1;3,781359425E-1
8,668183750E-1;3,825967908E-1;1,842821687E-1;1,492598802E-1;4,501319072E-1
8,768853750E-1;4,048104882E-1;1,217199862E-1;1,805142015E-1;4,596440616E-1
8,869523750E-1;3,970477581E-1;6,994964182E-2;2,229289412E-1;4,606920744E-1
8,970193750E-1;3,520959914E-1;7,891197503E-2;2,632529140E-1;4,466551059E-1
9,070863750E-1;2,955787480E-1;4,187070206E-2;2,542724311E-1;3,921408181E-1
9,171533750E-1;2,370134443E-1;1,143742912E-2;2,220572382E-1;3,249855452E-1
9,272193750E-1;1,945773661E-1;-4,618209787E-3;1,993623078E-1;2,786162397E-1
9,372863750E-1;1,534530967E-1;-2,687418135E-3;1,731943488E-1;2,314116626E-1
9,473533750E-1;1,239170954E-1;1,871252060E-2;1,306040734E-1;1,810056047E-1
9,574203750E-1;8,302158862E-2;3,956826776E-2;9,841605276E-2;1,346994856E-1
9,674873750E-1;2,638809942E-2;7,809225470E-2;8,406715840E-2;1,177370764E-1
9,775543750E-1;-2,518614568E-2;1,657696366E-1;6,900990754E-2;1,813181781E-1
9,876203750E-1;-6,827604026E-2;2,467018217E-1;2,921267785E-2;2,576369287E-1
9,976873750E-1;-9,786429256E-2;2,796981037E-1;5,610412452E-3;2,963780115E-1
1,007754375E0;-1,072810814E-1;2,812896967E-1;-1,698621083E-3;3,010581492E-1
1,017821375E0;-1,020538285E-1;2,787330449E-1;-6,267007440E-3;2,968945429E-1
1,027888375E0;-9,380878508E-2;2,450213432E-1;-1,140117738E-2;2,626128969E-1
1,037955375E0;-8,671039343E-2;2,045500875E-1;-1,086534932E-2;2,224353534E-1
1,048021375E0;-8,692357689E-2;1,770870835E-1;-1,318238582E-2;1,977101885E-1
1,058088375E0;-1,111708581E-1;1,598327309E-1;-3,228444234E-2;1,973518350E-1
1,068155375E0;-1,730167866E-1;1,589633971E-1;-5,577513203E-2;2,414850625E-1
1,078222375E0;-2,667134404E-1;8,805860579E-2;-6,714443117E-2;2,887884208E-1
1,088289375E0;-3,406259716E-1;5,168616306E-3;-7,960554957E-2;3,498425512E-1
1,098356375E0;-3,641012013E-1;-4,077969864E-2;-9,269551933E-2;3,779221188E-1
1,108422375E0;-3,329493105E-1;-1,381360274E-2;-9,561777115E-2;3,466825885E-1
1,118489375E0;-2,746042609E-1;8,479186334E-3;-6,974835694E-2;2,834505777E-1
1,128556375E0;-1,949343979E-1;4,759690166E-2;-2,730219439E-2;2,025099858E-1
1,138623375E0;-1,252964735E-1;5,567639694E-2;-8,275771514E-3;1,373592219E-1
1,148690375E0;-7,322849333E-2;8,423195221E-3;-3,406231478E-2;8,120100825E-2
1,158757375E0;-2,168828696E-1;-4,897128344E-1;-5,679266155E-2;5,385928385E-1
1,168823375E0;-4,355826080E-1;-8,080643415E-1;-1,549202353E-1;9,309674902E-1
1,178890375E0;-6,744742990E-1;-9,725384712E-1;-2,749715447E-1;1,215053912E0
1,188957375E0;-8,860836029E-1;-9,722112417E-1;-3,815361857E-1;1,369638168E0
1,199024375E0;-1,027920604E0;-7,686892748E-1;-5,598113537E-1;1,400318792E0
1,209091375E0;-1,088916540E0;-5,505184531E-1;-7,116094232E-1;1,412514697E0
1,219158375E0;-1,004074931E0;-3,333861232E-1;-7,442182302E-1;1,293512098E0
1,229224375E0;-7,412000895E-1;-5,608552694E-2;-7,299583554E-1;1,041807256E0
1,239291375E0;-4,238274395E-1;9,793919325E-2;-7,413358688E-1;8,595351386E-1
1,249358375E0;-9,235034883E-2;1,898497492E-1;-6,765701175E-1;7,087444095E-1
1,259425375E0;2,530618906E-1;2,110320032E-1;-5,810126662E-1;6,679450166E-1
1,269492375E0;6,456172466E-1;1,157549769E-1;-4,801662862E-1;8,128840669E-1
1,279558375E0;1,003067255E0;-9,184082597E-2;-4,297364056E-1;1,095103663E0
1,289625375E0;9,985341430E-1;-1,536361873E-1;-5,830116272E-1;1,166437770E0
1,299692375E0;9,096477032E-1;6,120741367E-2;-7,820373774E-1;1,201161001E0
1,309759375E0;4,694238305E-1;3,306100070E-1;-9,568445683E-1;1,115891230E0
1,319826375E0;2,703121305E-2;5,174584985E-1;-8,468450904E-1;9,927943348E-1
1,329893375E0;-4,647630155E-1;5,163133144E-1;-6,216844320E-1;9,322422605E-1
1,339959375E0;-8,454299569E-1;4,534560442E-1;-3,473705649E-1;1,020313925E0
1,350026375E0;-1,049746752E0;4,157573581E-1;-1,104393229E-1;1,134468716E0
1,360093375E0;-1,088982582E0;3,832641542E-1;2,061119769E-3;1,154460361E0
1,370160375E0;-1,049407244E0;2,655059099E-1;4,823994264E-2;1,083547896E0
1,380227375E0;-9,879214764E-1;1,402420104E-1;9,575766325E-2;1,002410193E0
1,390294375E0;-8,697572351E-1;5,376856774E-2;1,176849082E-1;8,793284053E-1
1,400360375E0;-6,835373044E-1;-7,605440915E-2;1,051273048E-1;6,957436812E-1
1,410427375E0;-4,794985056E-1;-2,663265765E-1;7,475773990E-2;5,535678656E-1
1,420494375E0;-2,900849283E-1;-4,315208793E-1;7,059469074E-2;5,247314982E-1
1,430561375E0;-1,143434346E-1;-4,821683168E-1;4,458235949E-2;4,975422531E-1
1,440628375E0;-3,788701072E-2;-4,001346827E-1;5,087301135E-2;4,051311555E-1
1,450695375E0;-5,600107461E-2;-3,162666559E-1;3,920235485E-2;3,235699965E-1
1,460762375E0;-1,449860781E-1;-2,309682965E-1;1,020925120E-4;2,727037354E-1
1,470828375E0;-2,956227958E-1;-2,491640449E-1;2,734442987E-2;3,875864762E-1
1,480895375E0;-4,888077080E-1;-3,651657403E-1;1,554171741E-1;6,296296461E-1
1,490962375E0;-6,750755906E-1;-4,212822616E-1;2,845639586E-1;8,450931567E-1
1,501029375E0;-8,207606673E-1;-4,067656398E-1;3,320707679E-1;9,743599713E-1
1,511096375E0;-8,800998330E-1;-3,758002520E-1;2,962146401E-1;1,001770761E0
1,521163375E0;-8,441317081E-1;-3,248649240E-1;2,410134524E-1;9,360464966E-1
1,531229375E0;-7,353760600E-1;-2,634266913E-1;1,932125241E-1;8,046754941E-1
1,541296375E0;-5,755139589E-1;-2,223375738E-1;1,347968876E-1;6,315223785E-1
1,551363375E0;-3,756167889E-1;-2,504571080E-1;6,282671541E-2;4,558112890E-1
1,561430375E0;-1,779359132E-1;-3,054995835E-1;-2,114275470E-2;3,541725579E-1
1,571497375E0;-2,276048809E-2;-3,470611572E-1;-1,234394461E-1;3,690620321E-1
